Variable,Type,Categories,Missing_Value,Left_Right_Side,Left_Label,Right_Label,Left_Right_Approach
SVAD_identifier,other,,,,,,
agey,x,,,,,,
spheno_occipital,ordinal,0 1,,,,,
C1_lipping,ordinal,0 1,,,,,
C1_eburnation,ordinal,0 1,,,,,
L1_spinous_process,ordinal,0 1 2,,,,,
L1_sup_epiph,ordinal,0 1 2 3,,,,,
L1_sup_surf,ordinal,0 1 2 3,,,,,
L1_inf_epiph,ordinal,0 1 2 3,,,,,
L1_inf_surf,ordinal,0 1 2 3,,,,,
L5_sup_margin,ordinal,0 1 2,,,,,
L5_inf_margin,ordinal,0 1 2,,,,,
L5_sup_epiph,ordinal,0 1 2 3,,,,,
L5_sup_surf,ordinal,0 1 2 3,,,,,
L5_inf_epiph,ordinal,0 1 2 3,,,,,
L5_inf_surf,ordinal,0 1 2 3,,,,,
cerv_lipping,ordinal,0 1,,,,,
cerv_candlewax,ordinal,0 1,,,,,
thoracic_lipping,ordinal,0 1,,,,,
thoracic_candlewax,ordinal,0 1,,,,,
lumbar_lipping,ordinal,0 1,,,,,
lumbar_candlewax,ordinal,0 1,,,,,
S1_margin,ordinal,0 1 2,,,,,
S12_fusion,ordinal,0 1 2,,,,,
sacral_elbow,ordinal,0 1,,,,,
sternum_dorsal_ridge,ordinal,0 1,,,,,
R2_rim_profile,ordinal,0 1,,,,,
R2_shingle,ordinal,0 1,,,,,
R310_rim_profile,ordinal,0 1,,,,,
R310_shingle,ordinal,0 1,,,,,
Hum_LW,ordinal,0 1,,,,,
Tib_LW,ordinal,0 1,,,,,
Calc_LW,ordinal,0 1,,,,,
Inno_LW,ordinal,0 1,,,,,
parietal_depression,ordinal,0 1,,,,,
occipital_condyle,ordinal,0 1 2,,,,,
R1_Fusion,ordinal,0 1,,,,,
R2_cap,ordinal,0 1,,,,,
clav_med_epiph,ordinal,0 1 2 3,,,,,
clav_med_gravel,ordinal,0 1,,,,,
clav_med_macro,ordinal,0 1 2,,,,,
clav_lat_macro,ordinal,0 1,,,,,
glenoid_fossa,ordinal,0 1 2,,,,,
glenoid_lipping,ordinal,0 1 2,,,,,
lesser_tubercle_bumps,ordinal,0 1,,,,,
lesser_tubercle_margin,ordinal,0 1 2,,,,,
humerus_greater_tubercle,ordinal,0 1,,,,,
med_epicondyle,ordinal,0 1,,,,,
lat_epicondyle,ordinal,0 1,,,,,
radius_tuberosity_ridge,ordinal,0 1,,,,,
ulna_exostoses,ordinal,0 1,,,,,
trapezium_lipping,ordinal,0 1,,,,,
fovea_margin,ordinal,0 1,,,,,
fem_head_surf,ordinal,0 1 2,,,,,
troch_fossa_exost,ordinal,0 1,,,,,
troch_med_surf_exost,ordinal,0 1,,,,,
fibula_mercury_wings,ordinal,0 1,,,,,
SI_fusion,ordinal,0 1 2,,,,,
iliac_crest_fusion,ordinal,0 1 2 3,,,,,
ilium_tuberculum,ordinal,0 1 2,,,,,
ant_inf_spine_exos,ordinal,0 1,,,,,
acet_post_margin,ordinal,0 1,,,,,
acet_post_surf,ordinal,0 1,,,,,
acet_end_lipping,ordinal,0 1,,,,,
ischium_tub_margin_spur,ordinal,0 1,,,,,
Ischium_medial_spur,ordinal,0 1,,,,,
ischium_tub_bumps,ordinal,0 1 2,,,,,
inferior_surf_porosity,ordinal,0 1,,,,,
sup_post_iliac_exos,ordinal,0 1,,,,,
inf_post_iliac_exos,ordinal,0 1,,,,,
post_exost_complete,ordinal,0 1 2,,,,,
pubic_collar,ordinal,0 1,,,,,
symph_relief,ordinal,0 1 2,,,,,
sup_apex,ordinal,0 1 2,,,,,
ventral_margin,ordinal,0 1 2 3,,,,,
dorsal_margin,ordinal,0 1 2 3,,,,,
troch_lat_surf,ordinal,0 1 2 3,,,,,
rand_num,continuous,,,,,,
